[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 13:20:32 ]AAAA :28 [°C], 66.65 RH, 0.9200 bar
[ 13:20:32 ]DADE :27 [°C], 65.67 RH, 0.9232 bar
[ 13:20:32 ]CAC2 :27 [°C], 64.66 RH, 0.9213 bar
[ 13:20:42 ]CAC2 :27 [°C], 64.66 RH, 0.9219 bar
[ 13:20:42 ]AAAA :28 [°C], 66.61 RH, 0.9206 bar
[ 13:20:42 ]BAB1 :28 [°C], 67.27 RH, 0.9213 bar
[ 13:20:42 ]DAD3 :29 [°C], 62.40 RH, 0.9219 bar
[ 13:20:42 ]DADE :27 [°C], 65.62 RH, 0.9213 bar
[ 13:20:47 ]BAB1 :28 [°C], 66.81 RH, 0.9225 bar
[ 13:20:47 ]DADE :27 [°C], 65.56 RH, 0.9225 bar
[ 13:20:47 ]CAC2 :27 [°C], 64.66 RH, 0.9225 bar
[ 13:20:47 ]AAAA :28 [°C], 66.27 RH, 0.9206 bar
[ 13:20:47 ]AAAA :28 [°C], 66.27 RH, 0.9206 bar
[ 13:20:47 ]DAD3 :29 [°C], 62.40 RH, 0.9225 bar
[ 13:20:57 ]AAAA :28 [°C], 66.33 RH, 0.9206 bar
[ 13:20:57 ]BAB1 :28 [°C], 65.83 RH, 0.9200 bar
[ 13:20:57 ]DADE :27 [°C], 65.56 RH, 0.9219 bar
[ 13:20:57 ]DADE :27 [°C], 65.56 RH, 0.9219 bar
[ 13:20:57 ]CAC2 :27 [°C], 64.89 RH, 0.9225 bar
[ 13:20:57 ]DAD3 :29 [°C], 62.63 RH, 0.9219 bar
[ 13:21:02 ]DADE :27 [°C], 65.72 RH, 0.9219 bar
[ 13:21:02 ]BAB1 :28 [°C], 65.80 RH, 0.9200 bar
[ 13:21:02 ]DAD3 :29 [°C], 62.54 RH, 0.9219 bar
[ 13:21:02 ]CAC2 :27 [°C], 64.84 RH, 0.9238 bar
[ 13:21:07 ]BAB1 :28 [°C], 65.80 RH, 0.9200 bar
[ 13:21:07 ]CAC2 :27 [°C], 64.84 RH, 0.9238 bar
[ 13:21:07 ]BAB1 :28 [°C], 65.80 RH, 0.9200 bar
[ 13:21:07 ]DAD3 :29 [°C], 62.51 RH, 0.9219 bar
[ 13:21:07 ]DADE :27 [°C], 65.81 RH, 0.9213 bar
[ 13:21:12 ]BAB1 :28 [°C], 65.66 RH, 0.9200 bar
[ 13:21:12 ]DAD3 :29 [°C], 62.54 RH, 0.9219 bar
[ 13:21:12 ]DADE :27 [°C], 65.70 RH, 0.9219 bar
[ 13:21:12 ]AAAA :28 [°C], 65.92 RH, 0.9213 bar
[ 13:21:12 ]CAC2 :27 [°C], 64.63 RH, 0.9225 bar
[ 13:21:17 ]BAB1 :28 [°C], 65.59 RH, 0.9200 bar
[ 13:21:17 ]CAC2 :27 [°C], 64.51 RH, 0.9225 bar
[ 13:21:17 ]DAD3 :29 [°C], 62.51 RH, 0.9225 bar
[ 13:21:17 ]DADE :27 [°C], 65.64 RH, 0.9206 bar
[ 13:21:17 ]AAAA :28 [°C], 65.69 RH, 0.9213 bar
[ 13:21:27 ]DADE :27 [°C], 65.67 RH, 0.9219 bar
[ 13:21:27 ]BAB1 :28 [°C], 65.80 RH, 0.9200 bar
[ 13:21:27 ]CAC2 :27 [°C], 64.56 RH, 0.9225 bar
[ 13:21:27 ]DAD3 :29 [°C], 62.57 RH, 0.9219 bar
[ 13:21:32 ]CAC2 :27 [°C], 64.63 RH, 0.9219 bar
[ 13:21:32 ]DADE :27 [°C], 65.70 RH, 0.9219 bar
[ 13:21:32 ]DAD3 :29 [°C], 62.63 RH, 0.9219 bar
[ 13:21:32 ]BAB1 :28 [°C], 65.66 RH, 0.9206 bar
[ 13:21:37 ]CAC2 :27 [°C], 64.66 RH, 0.9225 bar
[ 13:21:37 ]CAC2 :27 [°C], 64.66 RH, 0.9225 bar
[ 13:21:37 ]BAB1 :28 [°C], 65.69 RH, 0.9213 bar
[ 13:21:37 ]DADE :27 [°C], 65.75 RH, 0.9213 bar
[ 13:21:37 ]AAAA :28 [°C], 65.30 RH, 0.9219 bar
[ 13:21:37 ]DAD3 :29 [°C], 62.60 RH, 0.9225 bar
[ 13:21:37 ]CAC2 :27 [°C], 64.66 RH, 0.9219 bar
[ 13:21:52 ]BAB1 :28 [°C], 65.50 RH, 0.9225 bar
[ 13:21:52 ]DAD3 :29 [°C], 63.08 RH, 0.9219 bar
[ 13:21:52 ]DADE :27 [°C], 65.87 RH, 0.9206 bar
[ 13:21:52 ]AAAA :29 [°C], 66.55 RH, 0.9219 bar
[ 13:21:52 ]CAC2 :27 [°C], 64.66 RH, 0.9225 bar
[ 13:21:53 ]CAC2 :27 [°C], 64.66 RH, 0.9213 bar
[ 13:22:02 ]DADE :27 [°C], 65.90 RH, 0.9219 bar
[ 13:22:02 ]BAB1 :28 [°C], 66.48 RH, 0.9213 bar
[ 13:22:02 ]DAD3 :29 [°C], 63.00 RH, 0.9219 bar
[ 13:22:02 ]DAD3 :29 [°C], 62.97 RH, 0.9219 bar
[ 13:22:02 ]CAC2 :27 [°C], 64.86 RH, 0.9219 bar
[ 13:22:07 ]BAB1 :28 [°C], 66.13 RH, 0.9213 bar
[ 13:22:07 ]DADE :27 [°C], 65.87 RH, 0.9219 bar
[ 13:22:07 ]DAD3 :29 [°C], 62.83 RH, 0.9219 bar
[ 13:22:07 ]CAC2 :27 [°C], 64.77 RH, 0.9238 bar
[ 13:22:12 ]DAD3 :29 [°C], 62.89 RH, 0.9219 bar
[ 13:22:12 ]BAB1 :28 [°C], 65.80 RH, 0.9200 bar
[ 13:22:12 ]DADE :27 [°C], 65.95 RH, 0.9225 bar
[ 13:22:12 ]AAAA :29 [°C], 65.14 RH, 0.9219 bar
[ 13:22:13 ]CAC2 :27 [°C], 64.75 RH, 0.9206 bar
[ 13:22:22 ]BAB1 :28 [°C], 65.77 RH, 0.9213 bar
[ 13:22:22 ]AAAA :29 [°C], 64.45 RH, 0.9225 bar
[ 13:22:22 ]DAD3 :29 [°C], 62.72 RH, 0.9232 bar
[ 13:22:23 ]CAC2 :27 [°C], 64.77 RH, 0.9219 bar
[ 13:22:23 ]DADE :27 [°C], 65.77 RH, 0.9219 bar
[ 13:22:32 ]DAD3 :29 [°C], 62.40 RH, 0.9232 bar
[ 13:22:32 ]CAC2 :27 [°C], 64.86 RH, 0.9238 bar
[ 13:22:33 ]DADE :27 [°C], 65.74 RH, 0.9213 bar
[ 13:22:33 ]BAB1 :28 [°C], 65.98 RH, 0.9200 bar
[ 13:22:37 ]CAC2 :27 [°C], 64.89 RH, 0.9213 bar
[ 13:22:37 ]DADE :27 [°C], 66.11 RH, 0.9219 bar
[ 13:22:37 ]DAD3 :29 [°C], 62.40 RH, 0.9219 bar
[ 13:22:38 ]BAB1 :28 [°C], 67.12 RH, 0.9200 bar
[ 13:22:43 ]BAB1 :28 [°C], 67.01 RH, 0.9200 bar
[ 13:22:43 ]CAC2 :27 [°C], 64.75 RH, 0.9219 bar
[ 13:22:43 ]DAD3 :29 [°C], 62.43 RH, 0.9219 bar
[ 13:22:43 ]DADE :27 [°C], 66.41 RH, 0.9225 bar
[ 13:22:43 ]AAAA :29 [°C], 64.34 RH, 0.9213 bar
[ 13:22:58 ]DADE :27 [°C], 66.02 RH, 0.9206 bar
[ 13:22:58 ]BAB1 :28 [°C], 65.89 RH, 0.9200 bar
[ 13:22:58 ]AAAA :29 [°C], 65.46 RH, 0.9232 bar
[ 13:22:58 ]CAC2 :27 [°C], 64.98 RH, 0.9225 bar
[ 13:23:03 ]BAB1 :28 [°C], 65.75 RH, 0.9213 bar
[ 13:23:03 ]CAC2 :27 [°C], 64.95 RH, 0.9238 bar
[ 13:23:03 ]DADE :27 [°C], 66.05 RH, 0.9213 bar
[ 13:23:03 ]DAD3 :29 [°C], 63.79 RH, 0.9232 bar
[ 13:23:03 ]CAC2 :27 [°C], 64.95 RH, 0.9225 bar
[ 13:23:03 ]AAAA :29 [°C], 65.85 RH, 0.9219 bar
[ 13:23:18 ]CAC2 :27 [°C], 65.43 RH, 0.9225 bar
[ 13:23:18 ]BAB1 :28 [°C], 65.33 RH, 0.9219 bar
[ 13:23:18 ]DAD3 :29 [°C], 63.00 RH, 0.9219 bar
[ 13:23:18 ]AAAA :29 [°C], 65.04 RH, 0.9219 bar
[ 13:23:18 ]DADE :27 [°C], 66.46 RH, 0.9219 bar
[ 13:23:23 ]CAC2 :27 [°C], 65.37 RH, 0.9225 bar
[ 13:23:23 ]DADE :27 [°C], 67.59 RH, 0.9219 bar
[ 13:23:23 ]DAD3 :29 [°C], 63.54 RH, 0.9219 bar
[ 13:23:23 ]BAB1 :28 [°C], 66.95 RH, 0.9219 bar
[ 13:23:23 ]AAAA :29 [°C], 64.99 RH, 0.9225 bar
[ 13:23:28 ]CAC2 :27 [°C], 66.23 RH, 0.9225 bar
[ 13:23:28 ]BAB1 :28 [°C], 66.98 RH, 0.9206 bar
[ 13:23:28 ]DAD3 :29 [°C], 63.51 RH, 0.9219 bar
[ 13:23:28 ]DADE :27 [°C], 68.21 RH, 0.9206 bar
[ 13:23:28 ]AAAA :29 [°C], 64.66 RH, 0.9219 bar
[ 13:23:38 ]CAC2 :27 [°C], 65.33 RH, 0.9225 bar
[ 13:23:38 ]DAD3 :29 [°C], 63.40 RH, 0.9219 bar
[ 13:23:38 ]BAB1 :28 [°C], 66.46 RH, 0.9213 bar
[ 13:23:38 ]AAAA :29 [°C], 64.60 RH, 0.9219 bar
[ 13:23:38 ]DADE :27 [°C], 66.98 RH, 0.9219 bar
[ 13:23:48 ]CAC2 :27 [°C], 65.10 RH, 0.9225 bar
[ 13:23:48 ]AAAA :29 [°C], 63.98 RH, 0.9232 bar
[ 13:23:48 ]BAB1 :28 [°C], 66.01 RH, 0.9213 bar
[ 13:23:48 ]DADE :27 [°C], 66.35 RH, 0.9219 bar
[ 13:23:48 ]DAD3 :29 [°C], 63.15 RH, 0.9225 bar
[ 13:23:53 ]BAB1 :28 [°C], 65.95 RH, 0.9213 bar
[ 13:23:53 ]DAD3 :29 [°C], 62.94 RH, 0.9219 bar
[ 13:23:53 ]AAAA :29 [°C], 63.86 RH, 0.9225 bar
[ 13:23:53 ]CAC2 :27 [°C], 64.98 RH, 0.9225 bar
[ 13:23:53 ]DADE :27 [°C], 66.26 RH, 0.9219 bar
[ 13:23:58 ]BAB1 :28 [°C], 65.72 RH, 0.9200 bar
[ 13:23:58 ]DADE :27 [°C], 66.05 RH, 0.9219 bar
[ 13:23:58 ]DAD3 :29 [°C], 62.83 RH, 0.9219 bar
[ 13:23:58 ]CAC2 :27 [°C], 64.80 RH, 0.9219 bar
[ 13:23:58 ]AAAA :29 [°C], 63.36 RH, 0.9213 bar
[ 13:24:08 ]BAB1 :28 [°C], 66.36 RH, 0.9200 bar
[ 13:24:08 ]DAD3 :29 [°C], 63.11 RH, 0.9219 bar
[ 13:24:08 ]CAC2 :27 [°C], 65.16 RH, 0.9225 bar
[ 13:24:08 ]AAAA :29 [°C], 64.43 RH, 0.9219 bar
[ 13:24:08 ]DADE :27 [°C], 66.75 RH, 0.9219 bar
[ 13:24:13 ]BAB1 :28 [°C], 66.25 RH, 0.9213 bar
[ 13:24:13 ]DADE :27 [°C], 66.33 RH, 0.9219 bar
[ 13:24:13 ]CAC2 :27 [°C], 64.80 RH, 0.9225 bar
[ 13:24:13 ]DAD3 :29 [°C], 63.46 RH, 0.9225 bar
[ 13:24:13 ]AAAA :29 [°C], 64.63 RH, 0.9213 bar
[ 13:24:18 ]DADE :27 [°C], 66.05 RH, 0.9219 bar
[ 13:24:18 ]AAAA :29 [°C], 64.28 RH, 0.9225 bar
[ 13:24:18 ]BAB1 :28 [°C], 65.92 RH, 0.9213 bar
[ 13:24:18 ]DAD3 :29 [°C], 63.34 RH, 0.9206 bar
[ 13:24:18 ]CAC2 :27 [°C], 64.92 RH, 0.9213 bar
[ 13:24:18 ]DADE :27 [°C], 66.05 RH, 0.9225 bar
[ 13:24:23 ]CAC2 :27 [°C], 64.95 RH, 0.9225 bar
[ 13:24:23 ]DADE :27 [°C], 66.02 RH, 0.9225 bar
[ 13:24:23 ]DADE :27 [°C], 66.02 RH, 0.9225 bar
[ 13:24:23 ]BAB1 :28 [°C], 65.72 RH, 0.9194 bar
[ 13:24:23 ]DAD3 :29 [°C], 63.11 RH, 0.9219 bar
[ 13:24:38 ]BAB1 :28 [°C], 65.80 RH, 0.9200 bar
[ 13:24:38 ]CAC2 :27 [°C], 64.89 RH, 0.9225 bar
[ 13:24:38 ]DADE :27 [°C], 66.07 RH, 0.9225 bar
[ 13:24:38 ]DAD3 :29 [°C], 63.05 RH, 0.9219 bar
[ 13:24:38 ]AAAA :29 [°C], 64.28 RH, 0.9213 bar
[ 13:24:43 ]AAAA :29 [°C], 63.72 RH, 0.9213 bar
[ 13:24:43 ]CAC2 :27 [°C], 65.04 RH, 0.9206 bar
[ 13:24:43 ]BAB1 :28 [°C], 66.40 RH, 0.9200 bar
[ 13:24:43 ]DADE :27 [°C], 66.59 RH, 0.9219 bar
[ 13:24:43 ]DAD3 :29 [°C], 63.23 RH, 0.9219 bar
[ 13:24:48 ]DADE :27 [°C], 66.82 RH, 0.9219 bar
[ 13:24:48 ]AAAA :29 [°C], 63.42 RH, 0.9213 bar
[ 13:24:48 ]CAC2 :27 [°C], 65.30 RH, 0.9232 bar
[ 13:24:48 ]DADE :27 [°C], 66.82 RH, 0.9213 bar
[ 13:24:48 ]DADE :27 [°C], 66.82 RH, 0.9213 bar
[ 13:24:49 ]BAB1 :28 [°C], 66.52 RH, 0.9200 bar
[ 13:24:49 ]DAD3 :29 [°C], 63.34 RH, 0.9219 bar
[ 13:24:58 ]BAB1 :28 [°C], 65.81 RH, 0.9200 bar
[ 13:24:58 ]CAC2 :27 [°C], 65.22 RH, 0.9225 bar
[ 13:24:58 ]AAAA :29 [°C], 62.89 RH, 0.9213 bar
[ 13:24:58 ]DADE :27 [°C], 66.26 RH, 0.9213 bar
[ 13:24:58 ]DAD3 :29 [°C], 63.08 RH, 0.9219 bar
[ 13:24:59 ]AAAA :29 [°C], 62.86 RH, 0.9213 bar
[ 13:25:03 ]BAB1 :28 [°C], 65.66 RH, 0.9200 bar
[ 13:25:03 ]CAC2 :27 [°C], 65.08 RH, 0.9219 bar
[ 13:25:04 ]DAD3 :29 [°C], 62.94 RH, 0.9219 bar
[ 13:25:04 ]CAC2 :27 [°C], 65.08 RH, 0.9225 bar
[ 13:25:04 ]DADE :27 [°C], 66.20 RH, 0.9219 bar
[ 13:25:04 ]AAAA :30 [°C], 62.57 RH, 0.9225 bar
[ 13:25:08 ]BAB1 :28 [°C], 66.07 RH, 0.9206 bar
[ 13:25:08 ]DADE :27 [°C], 66.44 RH, 0.9219 bar
[ 13:25:08 ]AAAA :30 [°C], 62.57 RH, 0.9200 bar
[ 13:25:09 ]DAD3 :29 [°C], 62.89 RH, 0.9206 bar
[ 13:25:18 ]BAB1 :28 [°C], 66.07 RH, 0.9194 bar
[ 13:25:18 ]DADE :27 [°C], 66.38 RH, 0.9219 bar
[ 13:25:19 ]CAC2 :27 [°C], 65.28 RH, 0.9225 bar
[ 13:25:19 ]AAAA :30 [°C], 62.80 RH, 0.9225 bar
[ 13:25:19 ]DAD3 :29 [°C], 63.20 RH, 0.9219 bar
[ 13:25:24 ]DADE :27 [°C], 66.24 RH, 0.9219 bar
[ 13:25:24 ]AAAA :30 [°C], 62.89 RH, 0.9213 bar
[ 13:25:24 ]DAD3 :29 [°C], 63.17 RH, 0.9225 bar
[ 13:25:24 ]BAB1 :28 [°C], 65.92 RH, 0.9200 bar
[ 13:25:24 ]CAC2 :27 [°C], 65.10 RH, 0.9225 bar
[ 13:25:29 ]CAC2 :27 [°C], 65.08 RH, 0.9238 bar
[ 13:25:29 ]DAD3 :29 [°C], 63.20 RH, 0.9232 bar
[ 13:25:29 ]BAB1 :28 [°C], 66.01 RH, 0.9213 bar
[ 13:25:29 ]DADE :27 [°C], 66.09 RH, 0.9213 bar
[ 13:25:29 ]AAAA :30 [°C], 63.96 RH, 0.9232 bar
[ 13:25:39 ]CAC2 :27 [°C], 65.04 RH, 0.9225 bar
[ 13:25:39 ]DAD3 :29 [°C], 63.40 RH, 0.9219 bar
[ 13:25:39 ]AAAA :30 [°C], 62.83 RH, 0.9200 bar
[ 13:25:39 ]BAB1 :28 [°C], 65.66 RH, 0.9200 bar
[ 13:25:39 ]DADE :27 [°C], 66.15 RH, 0.9219 bar
[ 13:25:44 ]BAB1 :28 [°C], 65.66 RH, 0.9206 bar
[ 13:25:44 ]CAC2 :27 [°C], 65.04 RH, 0.9225 bar
[ 13:25:44 ]DADE :27 [°C], 66.20 RH, 0.9219 bar
[ 13:25:44 ]DADE :27 [°C], 66.20 RH, 0.9213 bar
[ 13:25:44 ]DAD3 :29 [°C], 63.51 RH, 0.9219 bar
[ 13:25:44 ]DAD3 :29 [°C], 63.51 RH, 0.9206 bar
[ 13:25:44 ]AAAA :30 [°C], 63.66 RH, 0.9213 bar
[ 13:25:49 ]BAB1 :28 [°C], 65.72 RH, 0.9200 bar
[ 13:25:49 ]DADE :27 [°C], 66.22 RH, 0.9213 bar
[ 13:25:49 ]DAD3 :29 [°C], 63.85 RH, 0.9206 bar
[ 13:25:49 ]CAC2 :27 [°C], 65.10 RH, 0.9219 bar
[ 13:25:49 ]AAAA :30 [°C], 63.60 RH, 0.9213 bar
[ 13:26:04 ]BAB1 :28 [°C], 65.36 RH, 0.9194 bar
[ 13:26:04 ]AAAA :30 [°C], 63.22 RH, 0.9225 bar
[ 13:26:04 ]DAD3 :29 [°C], 63.85 RH, 0.9225 bar
[ 13:26:04 ]BAB1 :28 [°C], 65.36 RH, 0.9200 bar
[ 13:26:04 ]CAC2 :27 [°C], 65.13 RH, 0.9225 bar
[ 13:26:04 ]DADE :27 [°C], 66.11 RH, 0.9219 bar
[ 13:26:09 ]BAB1 :28 [°C], 65.72 RH, 0.9206 bar
[ 13:26:09 ]CAC2 :27 [°C], 64.92 RH, 0.9225 bar
[ 13:26:09 ]DAD3 :29 [°C], 63.48 RH, 0.9219 bar
[ 13:26:09 ]AAAA :30 [°C], 63.04 RH, 0.9219 bar
[ 13:26:09 ]DADE :27 [°C], 67.32 RH, 0.9219 bar
[ 13:26:09 ]CAC2 :27 [°C], 64.92 RH, 0.9206 bar
[ 13:26:19 ]BAB1 :28 [°C], 65.37 RH, 0.9200 bar
[ 13:26:19 ]DAD3 :29 [°C], 62.83 RH, 0.9206 bar
[ 13:26:19 ]AAAA :30 [°C], 62.60 RH, 0.9225 bar
[ 13:26:19 ]DADE :27 [°C], 66.14 RH, 0.9219 bar
[ 13:26:19 ]CAC2 :27 [°C], 64.78 RH, 0.9219 bar
[ 13:26:29 ]DAD3 :29 [°C], 62.89 RH, 0.9206 bar
[ 13:26:29 ]BAB1 :28 [°C], 64.95 RH, 0.9206 bar
[ 13:26:29 ]CAC2 :27 [°C], 64.63 RH, 0.9225 bar
[ 13:26:29 ]DADE :27 [°C], 65.82 RH, 0.9213 bar
[ 13:26:29 ]AAAA :30 [°C], 62.69 RH, 0.9219 bar
[ 13:26:54 ]BAB1 :28 [°C], 64.80 RH, 0.9194 bar
[ 13:26:54 ]CAC2 :27 [°C], 64.42 RH, 0.9225 bar
[ 13:26:54 ]DADE :27 [°C], 65.69 RH, 0.9206 bar
[ 13:26:54 ]AAAA :30 [°C], 62.60 RH, 0.9225 bar
[ 13:26:54 ]DAD3 :29 [°C], 62.46 RH, 0.9206 bar
[ 13:27:04 ]CAC2 :27 [°C], 64.60 RH, 0.9238 bar
[ 13:27:04 ]BAB1 :28 [°C], 64.69 RH, 0.9206 bar
[ 13:27:04 ]AAAA :30 [°C], 62.69 RH, 0.9213 bar
[ 13:27:04 ]BAB1 :28 [°C], 64.69 RH, 0.9200 bar
[ 13:27:04 ]DADE :27 [°C], 65.82 RH, 0.9219 bar
[ 13:27:04 ]DAD3 :29 [°C], 62.63 RH, 0.9206 bar
[ 13:27:09 ]DAD3 :29 [°C], 62.70 RH, 0.9219 bar
[ 13:27:09 ]CAC2 :27 [°C], 64.48 RH, 0.9225 bar
[ 13:27:09 ]BAB1 :28 [°C], 64.71 RH, 0.9206 bar
[ 13:27:09 ]AAAA :30 [°C], 63.43 RH, 0.9225 bar
[ 13:27:09 ]CAC2 :27 [°C], 64.48 RH, 0.9225 bar
[ 13:27:09 ]DADE :27 [°C], 65.91 RH, 0.9213 bar
[ 13:27:29 ]CAC2 :27 [°C], 64.25 RH, 0.9213 bar
[ 13:27:29 ]AAAA :30 [°C], 61.31 RH, 0.9225 bar
[ 13:27:29 ]DAD3 :29 [°C], 62.44 RH, 0.9238 bar
[ 13:27:29 ]BAB1 :28 [°C], 64.83 RH, 0.9213 bar
[ 13:27:29 ]DADE :27 [°C], 65.85 RH, 0.9213 bar
[ 13:27:34 ]AAAA :30 [°C], 61.50 RH, 0.9225 bar
[ 13:27:34 ]DADE :27 [°C], 65.52 RH, 0.9219 bar
[ 13:27:34 ]DAD3 :29 [°C], 62.27 RH, 0.9206 bar
[ 13:27:34 ]CAC2 :27 [°C], 63.74 RH, 0.9225 bar
[ 13:27:34 ]DADE :27 [°C], 65.46 RH, 0.9219 bar
[ 13:27:34 ]BAB1 :28 [°C], 64.59 RH, 0.9206 bar
[ 13:27:44 ]DAD3 :29 [°C], 62.04 RH, 0.9219 bar
[ 13:27:44 ]AAAA :30 [°C], 61.38 RH, 0.9225 bar
[ 13:27:44 ]CAC2 :27 [°C], 63.66 RH, 0.9213 bar
[ 13:27:44 ]BAB1 :28 [°C], 64.27 RH, 0.9200 bar
[ 13:27:44 ]AAAA :30 [°C], 61.38 RH, 0.9225 bar
[ 13:27:44 ]DADE :27 [°C], 65.32 RH, 0.9219 bar
[ 13:27:49 ]CAC2 :27 [°C], 63.45 RH, 0.9238 bar
[ 13:27:49 ]DADE :27 [°C], 65.17 RH, 0.9219 bar
[ 13:27:49 ]AAAA :30 [°C], 61.53 RH, 0.9213 bar
[ 13:27:49 ]DAD3 :29 [°C], 62.07 RH, 0.9206 bar
[ 13:27:49 ]BAB1 :28 [°C], 64.15 RH, 0.9213 bar
[ 13:28:04 ]DAD3 :29 [°C], 61.99 RH, 0.9219 bar
[ 13:28:04 ]DADE :27 [°C], 65.17 RH, 0.9219 bar
[ 13:28:04 ]AAAA :30 [°C], 60.99 RH, 0.9238 bar
[ 13:28:04 ]BAB1 :28 [°C], 64.03 RH, 0.9206 bar
[ 13:28:04 ]CAC2 :27 [°C], 63.42 RH, 0.9238 bar
[ 13:28:09 ]AAAA :30 [°C], 61.02 RH, 0.9225 bar
[ 13:28:09 ]DAD3 :29 [°C], 61.93 RH, 0.9213 bar
[ 13:28:09 ]DADE :27 [°C], 65.12 RH, 0.9232 bar
[ 13:28:10 ]CAC2 :27 [°C], 63.34 RH, 0.9213 bar
[ 13:28:10 ]BAB1 :28 [°C], 64.00 RH, 0.9213 bar
[ 13:28:29 ]DADE :27 [°C], 64.76 RH, 0.9219 bar
[ 13:28:29 ]CAC2 :27 [°C], 62.74 RH, 0.9238 bar
[ 13:28:29 ]DAD3 :29 [°C], 61.44 RH, 0.9219 bar
[ 13:28:30 ]BAB1 :28 [°C], 63.89 RH, 0.9200 bar
[ 13:28:30 ]AAAA :30 [°C], 60.04 RH, 0.9213 bar
[ 13:28:30 ]DADE :27 [°C], 64.76 RH, 0.9219 bar
[ 13:28:34 ]CAC2 :27 [°C], 62.83 RH, 0.9225 bar
[ 13:28:34 ]DADE :27 [°C], 64.67 RH, 0.9219 bar
[ 13:28:35 ]AAAA :30 [°C], 60.07 RH, 0.9225 bar
[ 13:28:35 ]BAB1 :28 [°C], 64.62 RH, 0.9206 bar
[ 13:28:35 ]CAC2 :27 [°C], 62.83 RH, 0.9225 bar
[ 13:28:35 ]DAD3 :29 [°C], 61.21 RH, 0.9206 bar
[ 13:28:40 ]BAB1 :28 [°C], 64.77 RH, 0.9206 bar
[ 13:28:40 ]DADE :27 [°C], 64.64 RH, 0.9213 bar
[ 13:28:40 ]CAC2 :27 [°C], 62.83 RH, 0.9225 bar
[ 13:28:40 ]AAAA :30 [°C], 60.57 RH, 0.9213 bar
[ 13:28:40 ]DAD3 :29 [°C], 61.26 RH, 0.9219 bar
[ 13:28:50 ]BAB1 :28 [°C], 64.30 RH, 0.9206 bar
[ 13:28:50 ]DADE :27 [°C], 64.62 RH, 0.9219 bar
[ 13:28:50 ]DAD3 :29 [°C], 61.26 RH, 0.9219 bar
[ 13:28:50 ]CAC2 :27 [°C], 63.12 RH, 0.9225 bar
[ 13:28:50 ]AAAA :30 [°C], 60.64 RH, 0.9238 bar
[ 13:28:50 ]CAC2 :27 [°C], 63.12 RH, 0.9225 bar
[ 13:29:00 ]BAB1 :28 [°C], 64.24 RH, 0.9225 bar
[ 13:29:00 ]DAD3 :29 [°C], 61.21 RH, 0.9219 bar
[ 13:29:00 ]DADE :27 [°C], 64.84 RH, 0.9213 bar
[ 13:29:00 ]AAAA :30 [°C], 59.86 RH, 0.9200 bar
[ 13:29:00 ]CAC2 :27 [°C], 63.31 RH, 0.9225 bar
[ 13:29:05 ]DAD3 :29 [°C], 61.26 RH, 0.9219 bar
[ 13:29:05 ]BAB1 :28 [°C], 64.03 RH, 0.9194 bar
[ 13:29:05 ]CAC2 :27 [°C], 63.33 RH, 0.9225 bar
[ 13:29:05 ]DADE :27 [°C], 64.92 RH, 0.9213 bar
[ 13:29:05 ]AAAA :30 [°C], 59.86 RH, 0.9225 bar
[ 13:29:15 ]AAAA :30 [°C], 60.87 RH, 0.9225 bar
[ 13:29:15 ]AAAA :30 [°C], 60.87 RH, 0.9225 bar
[ 13:29:15 ]BAB1 :28 [°C], 63.97 RH, 0.9200 bar
[ 13:29:15 ]CAC2 :27 [°C], 63.27 RH, 0.9213 bar
[ 13:29:15 ]DAD3 :29 [°C], 61.63 RH, 0.9219 bar
[ 13:29:25 ]AAAA :30 [°C], 61.20 RH, 0.9213 bar
[ 13:29:25 ]DADE :27 [°C], 65.57 RH, 0.9232 bar
[ 13:29:25 ]CAC2 :27 [°C], 63.60 RH, 0.9225 bar
[ 13:29:25 ]DAD3 :29 [°C], 61.97 RH, 0.9225 bar
[ 13:29:25 ]BAB1 :28 [°C], 64.62 RH, 0.9200 bar
[ 13:29:30 ]AAAA :30 [°C], 61.47 RH, 0.9225 bar
[ 13:29:30 ]CAC2 :27 [°C], 63.56 RH, 0.9225 bar
[ 13:29:30 ]DADE :27 [°C], 65.40 RH, 0.9219 bar
[ 13:29:30 ]BAB1 :28 [°C], 64.53 RH, 0.9200 bar
[ 13:29:30 ]DAD3 :29 [°C], 61.97 RH, 0.9206 bar
[ 13:29:35 ]AAAA :30 [°C], 61.70 RH, 0.9225 bar
[ 13:29:35 ]CAC2 :27 [°C], 63.48 RH, 0.9238 bar
[ 13:29:35 ]DAD3 :29 [°C], 61.80 RH, 0.9219 bar
[ 13:29:35 ]DADE :27 [°C], 65.26 RH, 0.9219 bar
[ 13:29:45 ]BAB1 :28 [°C], 64.14 RH, 0.9200 bar
[ 13:29:45 ]DAD3 :29 [°C], 62.63 RH, 0.9219 bar
[ 13:29:45 ]DADE :27 [°C], 65.21 RH, 0.9219 bar
[ 13:29:45 ]CAC2 :27 [°C], 63.39 RH, 0.9225 bar
[ 13:29:45 ]AAAA :30 [°C], 62.12 RH, 0.9200 bar
[ 13:29:50 ]BAB1 :28 [°C], 64.30 RH, 0.9200 bar
[ 13:29:50 ]AAAA :30 [°C], 60.96 RH, 0.9225 bar
[ 13:29:50 ]DADE :27 [°C], 65.29 RH, 0.9213 bar
